Type,Origin attribute,Predicate,Object type,Class,Input source
,id,rico:includesOrIncluded,IRI (as ehri_units:_),rico:RecordSet,Holding @ EHRI Portal Search API
,identifier,rico:hasOrHadSubject,IRI (as ehri_terms:_),rico:Record | rico:RecordSet,CvocVocabulary @ EHRI GraphQL API
,identifier,rico:hasOrHadSubject,IRI (as ehri_camps:_),rico:Record | rico:RecordSet,CvocVocabulary @ EHRI GraphQL API
,identifier,rico:hasOrHadSubject,IRI (as ehri_ghettos:_),rico:Record | rico:RecordSet,CvocVocabulary @ EHRI GraphQL API
,identifier,rico:hasOrHadSubject,IRI (as ehri_pers:_),rico:Record | rico:RecordSet,AuthoritativeSet @ EHRI GraphQL API
,identifier,rico:hasOrHadSubject,IRI (as ehri_cb:_),rico:Record | rico:RecordSet,AuthoritativeSet @ EHRI GraphQL API
,,rico:hasOrHadLanguage,IRI -> Language,rico:Record,
,,rico:hasOrHadSomeMembersWithLanguage,IRI -> Language,rico:RecordSet,
,,rico:resultsOrResultedFrom,IRI -> Acquisition,rico:Record | rico:RecordSet,
,localId,rico:identifier,Literal,rico:Record | rico:RecordSet,Holding @ EHRI Portal Search API
,biographicalHistory,rico:history,Literal,rico:Record | rico:RecordSet,Holding @ EHRI Portal Search API
,holder.id,rico:hasOrHadHolder,IRI (as ehri_institutions:_),rico:Record | rico:RecordSet,Holding @ EHRI Portal Search API
,webSource,rdfs:seeAlso,IRI,,Holding @ EHRI Portal Search API
HoldingParallelFormOfName,subject generated by the record id + some unique feature,,Subject,,Holding @ EHRI Portal Search API
,parallelFormsOfName,rico:name,,,Holding @ EHRI Portal Search API
HoldingBeginningDate,subject,,,,Holding @ EHRI Portal Search API
,unitDates (left part),rico:normalizedDateValue,Literal,rico:Date,Holding @ EHRI Portal Search API
,id,rico:isBeginningDateOf,IRI (as ehri_units:_),rico:Date,Holding @ EHRI Portal Search API
HoldingEndDate,subject,,,,Holding @ EHRI Portal Search API
,unitDates (right part),rico:normalizedDateValue,,rico:Date,Holding @ EHRI Portal Search API
,id,rico:isBeginningDateOf,IRI (as ehri_units:_),rico:Date,Holding @ EHRI Portal Search API
