Type,Origin attribute,Predicate,Object type,Class,Input source
Camp,,,,,
Ghetto,,,,,
Person,identifier,,Subject,,AuthoritativeSet @ EHRI GraphQL API
,name,rdfs:label,Literal,rico:Person,AuthoritativeSet @ EHRI GraphQL API
,biographicalHistory,rico:history,Literal,rico:Person,AuthoritativeSet @ EHRI GraphQL API
,,rico:hasAgentName,IRI -> PersonOtherFormName,,
,,rico:hasAgentName,IRI -> PersonParallelFormName,,
PersonOtherFormName,identifier,,Subject,rico:AgentName,AuthoritativeSet @ EHRI GraphQL API
,otherFormsOfName,rdfs:label,Literal,,AuthoritativeSet @ EHRI GraphQL API
PersonParallelFormName,identifier,,Subject,rico:AgentName,AuthoritativeSet @ EHRI GraphQL API
,parallelFormsOfName,rdfs:label,Literal,,AuthoritativeSet @ EHRI GraphQL API
Corporate Body,identifier,,Subject,rico:CorporateBody,AuthoritativeSet @ EHRI GraphQL API
,name,rdfs:label,Literal,rico:CorporateBody,AuthoritativeSet @ EHRI GraphQL API
,biographicalHistory,rico:history,Literal,rico:CorporateBody,AuthoritativeSet @ EHRI GraphQL API
,source,owl:sameAs,IRI,rico:CorporateBody,AuthoritativeSet @ EHRI GraphQL API
